VariableCode,RegionCode,YearCode,AggValue
rgdpe,AIA,1989,167.69363403320300000
rgdpe,AIA,1990,206.07293701171900000
rgdpe,AIA,1991,163.58714294433600000
rgdpe,AIA,1992,205.43759155273400000
rgdpe,AIA,1993,212.97537231445300000
rgdpe,AIA,1994,231.49842834472700000
rgdpe,AIA,1995,222.38345336914100000
rgdpe,AIA,1996,227.70606994628900000
rgdpe,AIA,1997,249.48667907714800000
rgdpe,AIA,1998,286.75970458984400000
rgdpe,AIA,1999,300.31442260742200000
rgdpe,AIA,2000,301.92532348632800000
rgdpe,AIA,2001,300.98452758789100000
rgdpe,AIA,2002,278.81625366210900000
rgdpe,AIA,2003,298.01812744140600000
rgdpe,AIA,2004,347.68164062500000000
rgdpe,AIA,2005,397.20346069335900000
rgdpe,AIA,2006,471.37442016601600000
rgdpe,AIA,2007,563.29577636718800000
rgdpe,AIA,2008,562.91821289062500000
rgdpe,AIA,2009,432.87493896484400000
rgdpe,AIA,2010,408.89151000976600000
rgdpe,AIA,2011,409.87570190429700000
rgdpe,AIA,2012,385.36285400390600000
rgdpe,AIA,2013,371.27584838867200000
rgdpe,AIA,2014,392.40313720703100000
rgdpe,AIA,2015,408.10922241210900000
rgdpe,AIA,2016,390.41329956054700000
rgdpe,AIA,2017,340.55114746093800000
rgdpe,AIA,2018,360.61785888671900000
rgdpe,AIA,2019,376.63497924804700000
rgdpe,ALB,1970,6681.82861328125000000
rgdpe,ALB,1971,6950.33447265625000000
rgdpe,ALB,1972,7230.39404296875000000
rgdpe,ALB,1973,7518.89941406250000000
rgdpe,ALB,1974,7821.08789062500000000
rgdpe,ALB,1975,8136.81103515625000000
rgdpe,ALB,1976,8450.69433593750000000
rgdpe,ALB,1977,8808.26757812500000000
rgdpe,ALB,1978,9165.29785156250000000
rgdpe,ALB,1979,9463.03515625000000000
rgdpe,ALB,1980,9974.77441406250000000
rgdpe,ALB,1981,10320.92871093750000000
rgdpe,ALB,1982,10414.69726562500000000
rgdpe,ALB,1983,10800.65234375000000000
rgdpe,ALB,1984,10967.80761718750000000
rgdpe,ALB,1985,11049.23144531250000000
rgdpe,ALB,1986,11681.79101562500000000
rgdpe,ALB,1987,11882.93359375000000000
rgdpe,ALB,1988,11635.43066406250000000
rgdpe,ALB,1989,12516.76464843750000000
rgdpe,ALB,1990,12005.75683593750000000
rgdpe,ALB,1991,9891.15332031250000000
rgdpe,ALB,1992,7674.18359375000000000
rgdpe,ALB,1993,9402.02734375000000000
rgdpe,ALB,1994,11298.69824218750000000
rgdpe,ALB,1995,12203.23925781250000000
rgdpe,ALB,1996,13703.08203125000000000
rgdpe,ALB,1997,12602.61523437500000000
rgdpe,ALB,1998,13972.25878906250000000
rgdpe,ALB,1999,15023.24804687500000000
rgdpe,ALB,2000,15180.88085937500000000
rgdpe,ALB,2001,15890.31250000000000000
rgdpe,ALB,2002,16402.62890625000000000
rgdpe,ALB,2003,17446.41210937500000000
rgdpe,ALB,2004,18536.96875000000000000
rgdpe,ALB,2005,19540.92382812500000000
rgdpe,ALB,2006,21242.18359375000000000
rgdpe,ALB,2007,23032.05664062500000000
rgdpe,ALB,2008,25182.99804687500000000
rgdpe,ALB,2009,26975.95898437500000000
rgdpe,ALB,2010,29490.84570312500000000
rgdpe,ALB,2011,29684.38476562500000000
rgdpe,ALB,2012,30473.08593750000000000
rgdpe,ALB,2013,29908.67578125000000000
rgdpe,ALB,2014,31027.82226562500000000
rgdpe,ALB,2015,32037.93554687500000000
rgdpe,ALB,2016,32285.19335937500000000
rgdpe,ALB,2017,33842.15625000000000000
rgdpe,ALB,2018,35248.36718750000000000
rgdpe,ALB,2019,35890.01953125000000000
rgdpe,ARE,1970,66494.37500000000000000
rgdpe,ARE,1971,77511.25000000000000000
rgdpe,ARE,1972,86479.32031250000000000
rgdpe,ARE,1973,99334.55468750000000000
rgdpe,ARE,1974,115039.08593750000000000
rgdpe,ARE,1975,127634.15625000000000000
rgdpe,ARE,1976,154024.10937500000000000
rgdpe,ARE,1977,187114.07812500000000000
rgdpe,ARE,1978,172906.71875000000000000
rgdpe,ARE,1979,203603.04687500000000000
rgdpe,ARE,1980,248221.70312500000000000
rgdpe,ARE,1981,246175.25000000000000000
rgdpe,ARE,1982,228138.67187500000000000
rgdpe,ARE,1983,213884.25000000000000000
rgdpe,ARE,1984,221126.70312500000000000
rgdpe,ARE,1985,208487.65625000000000000
rgdpe,ARE,1986,174138.17187500000000000
rgdpe,ARE,1987,173670.53125000000000000
rgdpe,ARE,1988,168111.62500000000000000
rgdpe,ARE,1989,188546.67187500000000000
rgdpe,ARE,1990,226935.60937500000000000
rgdpe,ARE,1991,229251.98437500000000000
rgdpe,ARE,1992,238076.42187500000000000
rgdpe,ARE,1993,198563.70312500000000000
rgdpe,ARE,1994,206008.40625000000000000
rgdpe,ARE,1995,226304.40625000000000000
rgdpe,ARE,1996,243801.53125000000000000
rgdpe,ARE,1997,265473.15625000000000000
rgdpe,ARE,1998,247959.45312500000000000
rgdpe,ARE,1999,274168.62500000000000000
rgdpe,ARE,2000,342881.00000000000000000
rgdpe,ARE,2001,346402.28125000000000000
rgdpe,ARE,2002,357401.15625000000000000
rgdpe,ARE,2003,385153.40625000000000000
rgdpe,ARE,2004,419758.90625000000000000
rgdpe,ARE,2005,478720.12500000000000000
rgdpe,ARE,2006,558243.25000000000000000
rgdpe,ARE,2007,598077.87500000000000000
rgdpe,ARE,2008,648303.06250000000000000
rgdpe,ARE,2009,549628.00000000000000000
rgdpe,ARE,2010,565722.18750000000000000
rgdpe,ARE,2011,664640.93750000000000000
rgdpe,ARE,2012,669583.56250000000000000
rgdpe,ARE,2013,662725.75000000000000000
rgdpe,ARE,2014,685982.43750000000000000
rgdpe,ARE,2015,632701.18750000000000000
rgdpe,ARE,2016,624780.93750000000000000
rgdpe,ARE,2017,647360.50000000000000000
rgdpe,ARE,2018,640754.50000000000000000
rgdpe,ARE,2019,681525.81250000000000000
rgdpe,ARG,1950,50303.95312500000000000
rgdpe,ARG,1951,52677.96484375000000000
rgdpe,ARG,1952,47677.20703125000000000
rgdpe,ARG,1953,49529.67187500000000000
rgdpe,ARG,1954,51835.37500000000000000
rgdpe,ARG,1955,56628.43359375000000000
rgdpe,ARG,1956,58044.66796875000000000
rgdpe,ARG,1957,60744.98828125000000000
rgdpe,ARG,1958,65418.03906250000000000
rgdpe,ARG,1959,62026.23437500000000000
rgdpe,ARG,1960,66827.48437500000000000
rgdpe,ARG,1961,70027.46875000000000000
rgdpe,ARG,1962,66726.81250000000000000
rgdpe,ARG,1963,66221.08593750000000000
rgdpe,ARG,1964,70699.46093750000000000
rgdpe,ARG,1965,81516.10937500000000000
rgdpe,ARG,1966,81065.37500000000000000
rgdpe,ARG,1967,84686.62500000000000000
rgdpe,ARG,1968,87104.52343750000000000
rgdpe,ARG,1969,94738.72656250000000000
rgdpe,ARG,1970,96633.68750000000000000
rgdpe,ARG,1971,101079.75781250000000000
rgdpe,ARG,1972,103489.28906250000000000
rgdpe,ARG,1973,109352.65625000000000000
rgdpe,ARG,1974,114436.41406250000000000
rgdpe,ARG,1975,113183.21875000000000000
rgdpe,ARG,1976,111815.67968750000000000
rgdpe,ARG,1977,116233.62500000000000000
rgdpe,ARG,1978,112721.62500000000000000
rgdpe,ARG,1979,123069.51562500000000000
rgdpe,ARG,1980,130205.01562500000000000
rgdpe,ARG,1981,129140.69531250000000000
rgdpe,ARG,1982,129296.82031250000000000
rgdpe,ARG,1983,141275.32812500000000000
rgdpe,ARG,1984,150891.60937500000000000
rgdpe,ARG,1985,144763.00000000000000000
rgdpe,ARG,1986,164806.42187500000000000
rgdpe,ARG,1987,177125.89062500000000000
rgdpe,ARG,1988,185694.28125000000000000
rgdpe,ARG,1989,182602.87500000000000000
rgdpe,ARG,1990,196718.68750000000000000
rgdpe,ARG,1991,236273.54687500000000000
rgdpe,ARG,1992,284181.96875000000000000
rgdpe,ARG,1993,326765.25000000000000000
rgdpe,ARG,1994,381534.00000000000000000
rgdpe,ARG,1995,423577.25000000000000000
rgdpe,ARG,1996,548493.68750000000000000
rgdpe,ARG,1997,568161.00000000000000000
rgdpe,ARG,1998,570521.62500000000000000
rgdpe,ARG,1999,534873.37500000000000000
rgdpe,ARG,2000,528719.31250000000000000
rgdpe,ARG,2001,493202.18750000000000000
rgdpe,ARG,2002,457226.21875000000000000
rgdpe,ARG,2003,481738.78125000000000000
rgdpe,ARG,2004,518568.31250000000000000
rgdpe,ARG,2005,554101.12500000000000000
rgdpe,ARG,2006,607265.25000000000000000
rgdpe,ARG,2007,671212.62500000000000000
rgdpe,ARG,2008,720762.68750000000000000
rgdpe,ARG,2009,692100.37500000000000000
rgdpe,ARG,2010,787148.62500000000000000
rgdpe,ARG,2011,884236.06250000000000000
rgdpe,ARG,2012,895048.81250000000000000
rgdpe,ARG,2013,903833.00000000000000000
rgdpe,ARG,2014,878697.25000000000000000
rgdpe,ARG,2015,914850.18750000000000000
rgdpe,ARG,2016,911368.00000000000000000
rgdpe,ARG,2017,1026128.12500000000000000
rgdpe,ARG,2018,1025860.93750000000000000
rgdpe,ARG,2019,991646.31250000000000000
rgdpe,ARM,1990,23707.37304687500000000
rgdpe,ARM,1991,21362.25781250000000000
rgdpe,ARM,1992,12296.18066406250000000
rgdpe,ARM,1993,10928.08398437500000000
rgdpe,ARM,1994,9068.84960937500000000
rgdpe,ARM,1995,9528.50585937500000000
rgdpe,ARM,1996,10072.15234375000000000
rgdpe,ARM,1997,9489.25292968750000000
rgdpe,ARM,1998,9635.88769531250000000
rgdpe,ARM,1999,9689.00390625000000000
rgdpe,ARM,2000,10087.34179687500000000
rgdpe,ARM,2001,10989.71972656250000000
rgdpe,ARM,2002,12304.64941406250000000
rgdpe,ARM,2003,13872.30175781250000000
rgdpe,ARM,2004,15250.16015625000000000
rgdpe,ARM,2005,17184.89062500000000000
rgdpe,ARM,2006,19635.30078125000000000
rgdpe,ARM,2007,22700.49414062500000000
rgdpe,ARM,2008,24141.98828125000000000
rgdpe,ARM,2009,21865.50195312500000000
rgdpe,ARM,2010,23668.73632812500000000
rgdpe,ARM,2011,26128.95507812500000000
rgdpe,ARM,2012,30096.56445312500000000
rgdpe,ARM,2013,30251.53515625000000000
rgdpe,ARM,2014,29363.04882812500000000
rgdpe,ARM,2015,31316.50000000000000000
rgdpe,ARM,2016,31943.34765625000000000
rgdpe,ARM,2017,36337.19921875000000000
rgdpe,ARM,2018,37560.65625000000000000
rgdpe,ARM,2019,41048.62890625000000000
rgdpe,ATG,1970,306.77230834960900000
rgdpe,ATG,1971,329.46459960937500000
rgdpe,ATG,1972,353.69973754882800000
rgdpe,ATG,1973,382.20187377929700000
rgdpe,ATG,1974,399.77255249023400000
rgdpe,ATG,1975,375.90707397460900000
rgdpe,ATG,1976,340.64108276367200000
rgdpe,ATG,1977,365.19802856445300000
rgdpe,ATG,1978,368.40576171875000000
rgdpe,ATG,1979,457.23519897460900000
rgdpe,ATG,1980,440.15182495117200000
rgdpe,ATG,1981,458.57681274414100000
rgdpe,ATG,1982,580.01416015625000000
rgdpe,ATG,1983,593.75860595703100000
rgdpe,ATG,1984,513.18859863281300000
rgdpe,ATG,1985,554.37463378906300000
rgdpe,ATG,1986,670.81646728515600000
rgdpe,ATG,1987,705.10974121093800000
rgdpe,ATG,1988,781.05871582031300000
rgdpe,ATG,1989,808.49371337890600000
rgdpe,ATG,1990,845.25756835937500000
rgdpe,ATG,1991,859.01928710937500000
rgdpe,ATG,1992,883.15496826171900000
rgdpe,ATG,1993,946.74963378906300000
rgdpe,ATG,1994,1006.64904785156000000
rgdpe,ATG,1995,968.02752685546900000
rgdpe,ATG,1996,1021.80340576172000000
rgdpe,ATG,1997,1078.03576660156000000
rgdpe,ATG,1998,1147.95080566406000000
rgdpe,ATG,1999,1195.51464843750000000
rgdpe,ATG,2000,1268.59997558594000000
rgdpe,ATG,2001,1267.06481933594000000
rgdpe,ATG,2002,1315.86401367188000000
rgdpe,ATG,2003,1369.87841796875000000
rgdpe,ATG,2004,1471.60119628906000000
rgdpe,ATG,2005,1560.08349609375000000
rgdpe,ATG,2006,1769.76977539063000000
rgdpe,ATG,2007,1998.32849121094000000
rgdpe,ATG,2008,2096.97460937500000000
rgdpe,ATG,2009,1961.89929199219000000
rgdpe,ATG,2010,1848.08544921875000000
rgdpe,ATG,2011,1862.51770019531000000
rgdpe,ATG,2012,1881.19128417969000000
rgdpe,ATG,2013,1776.90051269531000000
rgdpe,ATG,2014,1792.38500976563000000
rgdpe,ATG,2015,1827.50195312500000000
rgdpe,ATG,2016,1894.60192871094000000
rgdpe,ATG,2017,1817.42102050781000000
rgdpe,ATG,2018,1919.96752929688000000
rgdpe,ATG,2019,1986.16320800781000000
rgdpe,AUS,1950,122176.42187500000000000
rgdpe,AUS,1951,114099.81250000000000000
rgdpe,AUS,1952,111393.75781250000000000
rgdpe,AUS,1953,123520.65625000000000000
rgdpe,AUS,1954,131680.68750000000000000
rgdpe,AUS,1955,136464.53125000000000000
rgdpe,AUS,1956,139459.37500000000000000
rgdpe,AUS,1957,139377.53125000000000000
rgdpe,AUS,1958,148823.79687500000000000
rgdpe,AUS,1959,159669.56250000000000000
rgdpe,AUS,1960,161635.51562500000000000
rgdpe,AUS,1961,165718.07812500000000000
rgdpe,AUS,1962,175465.75000000000000000
rgdpe,AUS,1963,190395.43750000000000000
rgdpe,AUS,1964,198959.92187500000000000
rgdpe,AUS,1965,202160.35937500000000000
rgdpe,AUS,1966,215622.48437500000000000
rgdpe,AUS,1967,224374.79687500000000000
rgdpe,AUS,1968,242520.64062500000000000
rgdpe,AUS,1969,261061.01562500000000000
rgdpe,AUS,1970,269214.03125000000000000
rgdpe,AUS,1971,277322.78125000000000000
rgdpe,AUS,1972,290876.37500000000000000
rgdpe,AUS,1973,306236.68750000000000000
rgdpe,AUS,1974,294963.12500000000000000
rgdpe,AUS,1975,296250.15625000000000000
rgdpe,AUS,1976,308524.93750000000000000
rgdpe,AUS,1977,310804.43750000000000000
rgdpe,AUS,1978,326547.65625000000000000
rgdpe,AUS,1979,337839.28125000000000000
rgdpe,AUS,1980,349085.78125000000000000
rgdpe,AUS,1981,366343.12500000000000000
rgdpe,AUS,1982,357623.96875000000000000
rgdpe,AUS,1983,377933.28125000000000000
rgdpe,AUS,1984,392094.87500000000000000
rgdpe,AUS,1985,405045.40625000000000000
rgdpe,AUS,1986,412788.62500000000000000
rgdpe,AUS,1987,445069.28125000000000000
rgdpe,AUS,1988,477367.96875000000000000
rgdpe,AUS,1989,497244.18750000000000000
rgdpe,AUS,1990,491977.81250000000000000
rgdpe,AUS,1991,493066.25000000000000000
rgdpe,AUS,1992,512335.68750000000000000
rgdpe,AUS,1993,533360.12500000000000000
rgdpe,AUS,1994,561455.56250000000000000
rgdpe,AUS,1995,589598.50000000000000000
rgdpe,AUS,1996,620206.87500000000000000
rgdpe,AUS,1997,651510.62500000000000000
rgdpe,AUS,1998,681906.31250000000000000
rgdpe,AUS,1999,718775.31250000000000000
rgdpe,AUS,2000,729098.93750000000000000
rgdpe,AUS,2001,755777.56250000000000000
rgdpe,AUS,2002,777223.93750000000000000
rgdpe,AUS,2003,813768.93750000000000000
rgdpe,AUS,2004,844186.81250000000000000
rgdpe,AUS,2005,874395.12500000000000000
rgdpe,AUS,2006,907270.68750000000000000
rgdpe,AUS,2007,938470.75000000000000000
rgdpe,AUS,2008,954499.93750000000000000
rgdpe,AUS,2009,970867.50000000000000000
rgdpe,AUS,2010,1038249.75000000000000000
rgdpe,AUS,2011,1084070.12500000000000000
rgdpe,AUS,2012,1097670.75000000000000000
rgdpe,AUS,2013,1166544.87500000000000000
rgdpe,AUS,2014,1168394.87500000000000000
rgdpe,AUS,2015,1151138.75000000000000000
rgdpe,AUS,2016,1223294.12500000000000000
rgdpe,AUS,2017,1240334.37500000000000000
rgdpe,AUS,2018,1283842.62500000000000000
rgdpe,AUS,2019,1280843.25000000000000000
rgdpe,AUT,1950,40357.28906250000000000
rgdpe,AUT,1951,41846.48046875000000000
rgdpe,AUT,1952,43857.64843750000000000
rgdpe,AUT,1953,46026.79687500000000000
rgdpe,AUT,1954,49078.17187500000000000
rgdpe,AUT,1955,53920.03906250000000000
rgdpe,AUT,1956,58295.65625000000000000
rgdpe,AUT,1957,61308.07812500000000000
rgdpe,AUT,1958,64191.60546875000000000
rgdpe,AUT,1959,66691.54687500000000000
rgdpe,AUT,1960,71715.84375000000000000
rgdpe,AUT,1961,75887.78125000000000000
rgdpe,AUT,1962,78181.00000000000000000
rgdpe,AUT,1963,81741.11718750000000000
rgdpe,AUT,1964,85801.51562500000000000
rgdpe,AUT,1965,88744.03906250000000000
rgdpe,AUT,1966,93206.43750000000000000
rgdpe,AUT,1967,96198.33593750000000000
rgdpe,AUT,1968,100632.60937500000000000
rgdpe,AUT,1969,105549.25000000000000000
rgdpe,AUT,1970,111881.24218750000000000
rgdpe,AUT,1971,117554.25000000000000000
rgdpe,AUT,1972,125129.01562500000000000
rgdpe,AUT,1973,132343.17187500000000000
rgdpe,AUT,1974,135241.54687500000000000
rgdpe,AUT,1975,136149.09375000000000000
rgdpe,AUT,1976,140292.92187500000000000
rgdpe,AUT,1977,146131.71875000000000000
rgdpe,AUT,1978,146276.59375000000000000
rgdpe,AUT,1979,152109.84375000000000000
rgdpe,AUT,1980,152980.46875000000000000
rgdpe,AUT,1981,151429.25000000000000000
rgdpe,AUT,1982,152637.45312500000000000
rgdpe,AUT,1983,156059.29687500000000000
rgdpe,AUT,1984,155888.79687500000000000
rgdpe,AUT,1985,158950.50000000000000000
rgdpe,AUT,1986,166557.20312500000000000
rgdpe,AUT,1987,173385.21875000000000000
rgdpe,AUT,1988,183558.12500000000000000
rgdpe,AUT,1989,195007.90625000000000000
rgdpe,AUT,1990,208007.23437500000000000
rgdpe,AUT,1991,220418.28125000000000000
rgdpe,AUT,1992,229276.84375000000000000
rgdpe,AUT,1993,234339.57812500000000000
rgdpe,AUT,1994,246585.96875000000000000
rgdpe,AUT,1995,259853.65625000000000000
rgdpe,AUT,1996,266383.87500000000000000
rgdpe,AUT,1997,278759.71875000000000000
rgdpe,AUT,1998,295161.68750000000000000
rgdpe,AUT,1999,304416.21875000000000000
rgdpe,AUT,2000,314579.68750000000000000
rgdpe,AUT,2001,308449.03125000000000000
rgdpe,AUT,2002,313331.15625000000000000
rgdpe,AUT,2003,318809.15625000000000000
rgdpe,AUT,2004,330761.75000000000000000
rgdpe,AUT,2005,343994.09375000000000000
rgdpe,AUT,2006,361593.87500000000000000
rgdpe,AUT,2007,376780.21875000000000000
