VariableCode,RegionCode,YearCode,AggValue
pop,ABW,1970,0.05906300000000000
pop,ABW,1971,0.05944000000000000
pop,ABW,1972,0.05984000000000000
pop,ABW,1973,0.06024300000000000
pop,ABW,1974,0.06052800000000000
pop,ABW,1975,0.06065700000000000
pop,ABW,1976,0.06058600000000000
pop,ABW,1977,0.06036600000000000
pop,ABW,1978,0.06010300000000000
pop,ABW,1979,0.05998000000000000
pop,ABW,1980,0.06009600000000000
pop,ABW,1981,0.06056700000000000
pop,ABW,1982,0.06134500000000000
pop,ABW,1983,0.06220100000000000
pop,ABW,1984,0.06283600000000000
pop,ABW,1985,0.06302600000000000
pop,ABW,1986,0.06264400000000000
pop,ABW,1987,0.06183300000000000
pop,ABW,1988,0.06107900000000000
pop,ABW,1989,0.06103200000000000
pop,ABW,1990,0.06214900000000000
pop,ABW,1991,0.06462200000000000
pop,ABW,1992,0.06823500000000000
pop,ABW,1993,0.07250400000000000
pop,ABW,1994,0.07670000000000000
pop,ABW,1995,0.08032400000000000
pop,ABW,1996,0.08320000000000000
pop,ABW,1997,0.08545100000000000
pop,ABW,1998,0.08727700000000000
pop,ABW,1999,0.08900500000000000
pop,ABW,2000,0.09085300000000000
pop,ABW,2001,0.09289800000000000
pop,ABW,2002,0.09499200000000000
pop,ABW,2003,0.09701700000000000
pop,ABW,2004,0.09873700000000000
pop,ABW,2005,0.10003100000000000
pop,ABW,2006,0.10083400000000000
pop,ABW,2007,0.10122200000000000
pop,ABW,2008,0.10135800000000000
pop,ABW,2009,0.10145500000000000
pop,ABW,2010,0.10166900000000000
pop,ABW,2011,0.10204600000000000
pop,ABW,2012,0.10256000000000000
pop,ABW,2013,0.10315900000000000
pop,ABW,2014,0.10377400000000000
pop,ABW,2015,0.10434100000000000
pop,ABW,2016,0.10487200000000000
pop,ABW,2017,0.10536600000000000
pop,ABW,2018,0.10584500000000000
pop,ABW,2019,0.10631400000000000
pop,AGO,1970,5.89036500000000000
pop,AGO,1971,6.04077700000000000
pop,AGO,1972,6.24855200000000000
pop,AGO,1973,6.49696200000000000
pop,AGO,1974,6.76138000000000000
pop,AGO,1975,7.02400000000000000
pop,AGO,1976,7.27950900000000000
pop,AGO,1977,7.53373500000000000
pop,AGO,1978,7.79070700000000000
pop,AGO,1979,8.05806700000000000
pop,AGO,1980,8.34128900000000000
pop,AGO,1981,8.64044600000000000
pop,AGO,1982,8.95295000000000000
pop,AGO,1983,9.27809600000000000
pop,AGO,1984,9.61475400000000000
pop,AGO,1985,9.96199700000000000
pop,AGO,1986,10.32011100000000000
pop,AGO,1987,10.68925000000000000
pop,AGO,1988,11.06805000000000000
pop,AGO,1989,11.45477700000000000
pop,AGO,1990,11.84838600000000000
pop,AGO,1991,12.24890100000000000
pop,AGO,1992,12.65736600000000000
pop,AGO,1993,13.07504900000000000
pop,AGO,1994,13.50374700000000000
pop,AGO,1995,13.94520600000000000
pop,AGO,1996,14.40071900000000000
pop,AGO,1997,14.87157000000000000
pop,AGO,1998,15.35960100000000000
pop,AGO,1999,15.86686900000000000
pop,AGO,2000,16.39547300000000000
pop,AGO,2001,16.94575300000000000
pop,AGO,2002,17.51941700000000000
pop,AGO,2003,18.12147900000000000
pop,AGO,2004,18.75814500000000000
pop,AGO,2005,19.43360200000000000
pop,AGO,2006,20.14990100000000000
pop,AGO,2007,20.90536300000000000
pop,AGO,2008,21.69563400000000000
pop,AGO,2009,22.51428100000000000
pop,AGO,2010,23.35624600000000000
pop,AGO,2011,24.22066100000000000
pop,AGO,2012,25.10793100000000000
pop,AGO,2013,26.01578100000000000
pop,AGO,2014,26.94177900000000000
pop,AGO,2015,27.88438100000000000
pop,AGO,2016,28.84248900000000000
pop,AGO,2017,29.81676600000000000
pop,AGO,2018,30.80978700000000000
pop,AGO,2019,31.82529500000000000
pop,AIA,1970,0.00677100000000000
pop,AIA,1971,0.00685800000000000
pop,AIA,1972,0.00694800000000000
pop,AIA,1973,0.00702800000000000
pop,AIA,1974,0.00710200000000000
pop,AIA,1975,0.00715900000000000
pop,AIA,1976,0.00720600000000000
pop,AIA,1977,0.00725500000000000
pop,AIA,1978,0.00728400000000000
pop,AIA,1979,0.00729200000000000
pop,AIA,1980,0.00728500000000000
pop,AIA,1981,0.00724700000000000
pop,AIA,1982,0.00719000000000000
pop,AIA,1983,0.00715300000000000
pop,AIA,1984,0.00717300000000000
pop,AIA,1985,0.00729300000000000
pop,AIA,1986,0.00751800000000000
pop,AIA,1987,0.00784200000000000
pop,AIA,1988,0.00821300000000000
pop,AIA,1989,0.00858200000000000
pop,AIA,1990,0.00889900000000000
pop,AIA,1991,0.00913500000000000
pop,AIA,1992,0.00933200000000000
pop,AIA,1993,0.00949300000000000
pop,AIA,1994,0.00966400000000000
pop,AIA,1995,0.00986600000000000
pop,AIA,1996,0.01011700000000000
pop,AIA,1997,0.01038800000000000
pop,AIA,1998,0.01068400000000000
pop,AIA,1999,0.01097100000000000
pop,AIA,2000,0.01125200000000000
pop,AIA,2001,0.01151500000000000
pop,AIA,2002,0.01176100000000000
pop,AIA,2003,0.01200100000000000
pop,AIA,2004,0.01223300000000000
pop,AIA,2005,0.01245300000000000
pop,AIA,2006,0.01266100000000000
pop,AIA,2007,0.01286800000000000
pop,AIA,2008,0.01306300000000000
pop,AIA,2009,0.01325800000000000
pop,AIA,2010,0.01343800000000000
pop,AIA,2011,0.01362000000000000
pop,AIA,2012,0.01379500000000000
pop,AIA,2013,0.01395400000000000
pop,AIA,2014,0.01411200000000000
pop,AIA,2015,0.01427900000000000
